PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,pubmed_url,second_link,pdf_url,download_status,download_error
40210599,Neoadjuvant vs perioperative chemo-immunotherapy according to pathological response in resectable non-small cell lung cancer: a reconstructed individual patient data meta-analysis,"Nuccio A, Salomone F, Servetto A, Ricciuti B, Marinelli D, Bulotta A, Veronesi G, Garassino MC, Torri V, Besse B, Viscardi G, Ferrara R.",J Natl Cancer Inst. 2025 Nov 1;117(11):2388-2393. doi: 10.1093/jnci/djaf090.,Nuccio A,J Natl Cancer Inst,2025,2025/04/10,,,10.1093/jnci/djaf090,https://pubmed.ncbi.nlm.nih.gov/40210599/,,https://watermark02.silverchair.com/djaf090.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAA2IwggNeBgkqhkiG9w0BBwagggNPMIIDSwIBADCCA0QGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMZ5vnS5tg-BsmvmblAgEQgIIDFRhz6EIvZiZnmxeyZ-aBAq2wS3QdHNCjocHBxcJu4Tf0XhaaeCG7JhaQhCTeOdDWrmNOX45Dc03FG-luV1RyguFzLlaZFbSIwLLGOrqRvKA7TqRZKWic36tRthKppPyesfKl2R5iqogqZ73raF661-WUxH17s_3qALXP38oKyLgJfKaSx-0Qq_uZgE5dXVaO5u9YFMjX7uoO3rHizaYoqgELksCgqHRDBP2VRq5lfW0oPjHlc8YU8oPqRBgebVpG_nPtrZcdr674ykADSLICV8d3yLwcab6wFd1qrryIdXBrY5nLVS2ex90pfz2GckxjaPGLhkxJmfMhtQHNKCqsxlYwWFtnK3wm2XBEdhb5zQscYy-DsejQgfjrACOTJFa8HbI3FBgrVgVPNVDQge_inj0fke-LjnWFyurDYGWQechqPnpY8H4eZ7t7pKUEQqEKzRdJpcYV7bnrhycui1zoCqXVaM96GaBRJlSSB2FNtK-R1WjkaTU8tXOj8QYtu4kNH1nfABI4Nj3b1rso01d7EMJZYkgWE8n1Ldlzjtvqu02qEPdmLuWNh6nm8eM0CmxtRZjD5i8qUdlNxHMq-ywijbE0Rhb9J-gqug46HAWHKIyBIFNYjxg7i0VnG3yCMeVUWIznRkw5Z3xfOF_E1OLzyzoANxryYkcnGlb0eI2HgroFyiGwuhDazMxY6v99_LotboD-ZWGvJ5FovF-60caYyxVQTszDN_7FBfRnIUs5vDnSQnYYzu0lRgFiPbRUN6KbyR-x-uCb0S-4BKV6bFg_rCvivdke1jrpwbghJNbG5LW_6lir2hYe4w6p3bXCKM8qEzRBSjaXBBrb5zozfL8n96LHJsiE0He74S4cYj50ytC4231SitMLMJ6AFazGL7wyd1XXqfD3t2xueSxjHlmVNustaYeuS7UvwnpJw8S-SkljKnKfFkeydHbv4qLtJhc73VI3cxBJ9ytw5_-wsXByYZJInpdO1nsqqyKNV5vyKexCKDpQmiYVbtAp8-2gB2cBzX8FjKX-A8-FSfl1z6GAe0ZHTk8eYw,success,
40209857,Thoracic radiotherapy schedules in limited-stage small cell lung cancer: A systematic review and network meta-analysis,"Zhong X, Liu Y, Ji Y, Wang L.",Radiother Oncol. 2025 Jun;207:110888. doi: 10.1016/j.radonc.2025.110888. Epub 2025 Apr 8.,Zhong X,Radiother Oncol,2025,2025/04/10,,,10.1016/j.radonc.2025.110888,https://pubmed.ncbi.nlm.nih.gov/40209857/,,https://www.clinicalkey.com/service/content/pdf/watermarked/1-s2.0-S0167814025001835.pdf?locale=en_US&searchIndex=,success,
40204634,The Effect of Nursing-Based Enhanced Recovery After Surgery on Quality of Life in Lung Cancer Patients Receiving Surgery: A Systematic Review and Meta-Analysis,"Wu W, Qiu R.",Nurs Health Sci. 2025 Jun;27(2):e70094. doi: 10.1111/nhs.70094.,Wu W,Nurs Health Sci,2025,2025/04/09,,,10.1111/nhs.70094,https://pubmed.ncbi.nlm.nih.gov/40204634/,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nhs.70094,success,
40147760,Prevalence and prognostic value of global leadership initiative on malnutrition (GLIM) phenotypic cachexia criteria in cancer patients: A systematic review and meta-analysis,"Pumtako C, Dolan RD, McMillan DC.",Clin Nutr ESPEN. 2025 Jun;67:387-397. doi: 10.1016/j.clnesp.2025.03.044. Epub 2025 Mar 25.,Pumtako C,Clin Nutr ESPEN,2025,2025/03/27,,,10.1016/j.clnesp.2025.03.044,https://pubmed.ncbi.nlm.nih.gov/40147760/,,https://www.clinicalkey.com/service/content/pdf/watermarked/1-s2.0-S2405457725001354.pdf?locale=en_US&searchIndex=,success,
40139282,The clinicopathologic and prognostic value of CD44 expression in patients with non-small cell lung cancer: A systematic review and meta-analysis,"Alaei E, Farahani N, Orouei S, Alimohammadi M, Daneshi S, Mousavi T, Mahmoodieh B, Taheriazam A, Rahimzadeh P, Hashemi M.",Mol Cell Probes. 2025 Jun;81:102028. doi: 10.1016/j.mcp.2025.102028. Epub 2025 Mar 24.,Alaei E,Mol Cell Probes,2025,2025/03/26,,,10.1016/j.mcp.2025.102028,https://pubmed.ncbi.nlm.nih.gov/40139282/,,,failed,https://pubmed.ncbi.nlm.nih.gov/40139282/ -> no_live_pdf
39984224,"The effect of occupational exposure to welding fumes on trachea, bronchus, and lung cancer: A supplementary analysis of regular occupational exposure and of occasional occupational exposure based on the systematic review and meta-analysis from the WHO/ILO Joint estimates of the work-related burden of disease and Injury","Momen NC, Baker MG, Driscoll T, Li J, Martínez-Silveira MS, Turner MC, Viegas S, Villeneuve PJ, Pega F.",Environ Int. 2025 Feb;196:109216. doi: 10.1016/j.envint.2024.109216. Epub 2024 Dec 19.,Momen NC,Environ Int,2025,2025/02/21,,,10.1016/j.envint.2024.109216,https://pubmed.ncbi.nlm.nih.gov/39984224/,,,failed,https://pubmed.ncbi.nlm.nih.gov/39984224/ -> no_live_pdf
39893747,Efficacy and safety of immune checkpoint inhibition combined with concurrent chemoradiotherapy in patients with stage III unresectable non-small cell lung cancer: A systematic review and meta-analysis,"Acker F, Reck M, Martin D, Rieken S, Heinzen S, Rost M, Aguinarte L, Schulte H, Serve H, Oellerich T, Sebastian M, Althoff FC.",Eur J Cancer. 2025 Mar 11;218:115266. doi: 10.1016/j.ejca.2025.115266. Epub 2025 Jan 30.,Acker F,Eur J Cancer,2025,2025/02/02,,,10.1016/j.ejca.2025.115266,https://pubmed.ncbi.nlm.nih.gov/39893747/,,,failed,row_timeout>120s
39883489,The diagnostic performance and optimal strategy of cone beam CT-assisted bronchoscopy for peripheral pulmonary lesions: A systematic review and meta-analysis,"Yang H, Huang J, Zhang Y, Guo J, Xie S, Zheng Z, Ma Y, Deng Q, Zhong C, Li S.",Pulmonology. 2025 Dec 31;31(1):2420562. doi: 10.1080/25310429.2024.2420562. Epub 2024 Nov 4.,Yang H,Pulmonology,2025,2025/01/30,,,10.1080/25310429.2024.2420562,https://pubmed.ncbi.nlm.nih.gov/39883489/,,,failed,"https://www.tandfonline.com/doi/epdf/10.1080/noindex,noarchive,nofollow,max-image-preview:large -> http_403:text/html; charset=UTF-8"
39730034,Grading the evidence for physical activity and any outcome in cancer survivors: An Umbrella review of 740 meta-analytic associations,"Filis P, Markozannes G, Chan DS, Mauri D, Foukakis T, Matikas A, Droufakou S, Pentheroudakis G, Tsilidis K.",Crit Rev Oncol Hematol. 2025 Mar;207:104602. doi: 10.1016/j.critrevonc.2024.104602. Epub 2024 Dec 25.,Filis P,Crit Rev Oncol Hematol,2025,2024/12/27,,,10.1016/j.critrevonc.2024.104602,https://pubmed.ncbi.nlm.nih.gov/39730034/,,,failed,https://pubmed.ncbi.nlm.nih.gov/39730034/ -> no_live_pdf
39727205,Radiofrequency ablation versus microwave ablation for lung cancer/lung metastases: a meta-analysis,"Liu X, Zhan Y, Wang H, Tang X, Cheng Y.",ANZ J Surg. 2025 Jan-Feb;95(1-2):56-65. doi: 10.1111/ans.19376. Epub 2024 Dec 27.,Liu X,ANZ J Surg,2025,2024/12/27,,,10.1111/ans.19376,https://pubmed.ncbi.nlm.nih.gov/39727205/,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ans.19376,success,
39672496,"Exposure to per- and poly-fluoroalkyl substances and lung, head and neck, and thyroid cancer: A systematic review and meta-analysis","Sassano M, Seyyedsalehi MS, Kappil EM, Zhang S, Zheng T, Boffetta P.",Environ Res. 2025 Feb 1;266:120606. doi: 10.1016/j.envres.2024.120606. Epub 2024 Dec 11.,Sassano M,Environ Res,2025,2024/12/13,,,10.1016/j.envres.2024.120606,https://pubmed.ncbi.nlm.nih.gov/39672496/,,,failed,https://pubmed.ncbi.nlm.nih.gov/39672496/ -> no_live_pdf
39581379,Low Dose Computed Tomography for Lung Cancer Screening in Tuberculosis Endemic Countries: A Systematic Review and Meta-Analysis,"Damaraju V, Krushna Karri JK, Gandrakota G, Marimuthu Y, Ravindra AG, Aravindakshan R, Singh N.",J Thorac Oncol. 2025 Mar;20(3):296-310. doi: 10.1016/j.jtho.2024.11.020. Epub 2024 Nov 22.,Damaraju V,J Thorac Oncol,2025,2024/11/24,,,10.1016/j.jtho.2024.11.020,https://pubmed.ncbi.nlm.nih.gov/39581379/,,,failed,https://www.ovid.com/jnls/cmj/pdf/10.1097/cm9.0000000000002353~accuracy-of-baseline-low-dose-computed-tomography-lung -> pdf_doi_mismatch
39562196,CT-Defined Coronary Artery Calcification as a Prognostic Marker for Overall Survival in Lung Cancer: A Systematic Review and Meta-analysis,"Meyer HJ, Wienke A, Surov A.",Acad Radiol. 2025 Mar;32(3):1306-1312. doi: 10.1016/j.acra.2024.10.046. Epub 2024 Nov 18.,Meyer HJ,Acad Radiol,2025,2024/11/19,,,10.1016/j.acra.2024.10.046,https://pubmed.ncbi.nlm.nih.gov/39562196/,,,failed,https://pubmed.ncbi.nlm.nih.gov/39562196/ -> no_live_pdf
39551030,Impact of the timing of immunotherapy administration on overall survival for resectable non-small cell lung cancer (iACORN study): A systematic review and meta-analysis of randomised trials,"Patel AJ, Hemead H, Law J, Wali A, De Sousa P, Lim E.",Eur J Cancer. 2025 Jan;214:115118. doi: 10.1016/j.ejca.2024.115118. Epub 2024 Nov 9.,Patel AJ,Eur J Cancer,2025,2024/11/17,,,10.1016/j.ejca.2024.115118,https://pubmed.ncbi.nlm.nih.gov/39551030/,,https://www.ejcancer.com/article/S0959-8049(24)01725-8/pdf,success,
39389220,Improved Event-Free Survival After Complete or Major Pathologic Response in Patients With Resectable NSCLC Treated With Neoadjuvant Chemoimmunotherapy Regardless of Adjuvant Treatment: A Systematic Review and Individual Patient Data Meta-Analysis,"Marinelli D, Nuccio A, Di Federico A, Ambrosi F, Bertoglio P, Faccioli E, Ferrara R, Ferro A, Giusti R, Guerrera F, Mammana M, Pittaro A, Sepulcri M, Viscardi G, Gallina FT.",J Thorac Oncol. 2025 Mar;20(3):285-295. doi: 10.1016/j.jtho.2024.09.1443. Epub 2024 Oct 9.,Marinelli D,J Thorac Oncol,2025,2024/10/10,,,10.1016/j.jtho.2024.09.1443,https://pubmed.ncbi.nlm.nih.gov/39389220/,,,failed,https://pubmed.ncbi.nlm.nih.gov/39389220/ -> no_live_pdf
39319530,The risk of treatment-related toxicities with PD-1/PD-L1 inhibitors in patients with lung cancer,"Hu H, Zhu Q, Tang H, Zhang SC, Huang YZ, Wang YF, Xu ZY, Yang XW, Zheng JH, Guo CY.",Int J Cancer. 2025 Feb 1;156(3):608-622. doi: 10.1002/ijc.35195. Epub 2024 Sep 25.,Hu H,Int J Cancer,2025,2024/09/25,,,10.1002/ijc.35195,https://pubmed.ncbi.nlm.nih.gov/39319530/,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijc.35195,success,
39297378,Diagnostic performance of rapid on-site evaluation during bronchoscopy for lung cancer: A comprehensive meta-analysis,"Chen CC, Lu SC, Chang YK, Bai CH, Hsiao KY, Lee KY, Wang YH.",Cancer Cytopathol. 2025 Jan;133(1):e22908. doi: 10.1002/cncy.22908. Epub 2024 Sep 19.,Chen CC,Cancer Cytopathol,2025,2024/09/19,,,10.1002/cncy.22908,https://pubmed.ncbi.nlm.nih.gov/39297378/,,https://acsjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cncy.22908,success,
